Support,Pattern_Type,Execution_Time(s),Num_Patterns,Frequent_Itemset
0.1,A,0.5633808612823487,4338,account
0.1,A,0.5633808612823487,4338,administration
0.1,A,0.5633808612823487,4338,advertising
0.1,A,0.5633808612823487,4338,america
0.1,A,0.5633808612823487,4338,american
0.1,A,0.5633808612823487,4338,blades
0.1,A,0.5633808612823487,4338,bush
0.1,A,0.5633808612823487,4338,bushs
0.1,A,0.5633808612823487,4338,campaign
0.1,A,0.5633808612823487,4338,candidate
0.1,A,0.5633808612823487,4338,candidates
0.1,A,0.5633808612823487,4338,challenge
0.1,A,0.5633808612823487,4338,challenger
0.1,A,0.5633808612823487,4338,challengers
0.1,A,0.5633808612823487,4338,challenging
0.1,A,0.5633808612823487,4338,contact
0.1,A,0.5633808612823487,4338,country
0.1,A,0.5633808612823487,4338,create
0.1,A,0.5633808612823487,4338,culture
0.1,A,0.5633808612823487,4338,dean
0.1,A,0.5633808612823487,4338,dem
0.1,A,0.5633808612823487,4338,democratic
0.1,A,0.5633808612823487,4338,democrats
0.1,A,0.5633808612823487,4338,dkosopedia
0.1,A,0.5633808612823487,4338,economy
0.1,A,0.5633808612823487,4338,edwards
0.1,A,0.5633808612823487,4338,election
0.1,A,0.5633808612823487,4338,elections
0.1,A,0.5633808612823487,4338,electoral
0.1,A,0.5633808612823487,4338,end
0.1,A,0.5633808612823487,4338,experience
0.1,A,0.5633808612823487,4338,fact
0.1,A,0.5633808612823487,4338,general
0.1,A,0.5633808612823487,4338,george
0.1,A,0.5633808612823487,4338,gop
0.1,A,0.5633808612823487,4338,government
0.1,A,0.5633808612823487,4338,governor
0.1,A,0.5633808612823487,4338,ground
0.1,A,0.5633808612823487,4338,hard
0.1,A,0.5633808612823487,4338,homepage
0.1,A,0.5633808612823487,4338,house
0.1,A,0.5633808612823487,4338,important
0.1,A,0.5633808612823487,4338,including
0.1,A,0.5633808612823487,4338,iraq
0.1,A,0.5633808612823487,4338,issue
0.1,A,0.5633808612823487,4338,ive
0.1,A,0.5633808612823487,4338,john
0.1,A,0.5633808612823487,4338,kerry
0.1,A,0.5633808612823487,4338,kerrys
0.1,A,0.5633808612823487,4338,kossacks
0.1,A,0.5633808612823487,4338,labor
0.1,A,0.5633808612823487,4338,latest
0.1,A,0.5633808612823487,4338,lead
0.1,A,0.5633808612823487,4338,long
0.1,A,0.5633808612823487,4338,man
0.1,A,0.5633808612823487,4338,media
0.1,A,0.5633808612823487,4338,meteor
0.1,A,0.5633808612823487,4338,midday
0.1,A,0.5633808612823487,4338,military
0.1,A,0.5633808612823487,4338,million
0.1,A,0.5633808612823487,4338,money
0.1,A,0.5633808612823487,4338,national
0.1,A,0.5633808612823487,4338,needed
0.1,A,0.5633808612823487,4338,news
0.1,A,0.5633808612823487,4338,nov
0.1,A,0.5633808612823487,4338,november
0.1,A,0.5633808612823487,4338,numbers
0.1,A,0.5633808612823487,4338,oct
0.1,A,0.5633808612823487,4338,party
0.1,A,0.5633808612823487,4338,people
0.1,A,0.5633808612823487,4338,percent
0.1,A,0.5633808612823487,4338,political
0.1,A,0.5633808612823487,4338,poll
0.1,A,0.5633808612823487,4338,polling
0.1,A,0.5633808612823487,4338,polls
0.1,A,0.5633808612823487,4338,president
0.1,A,0.5633808612823487,4338,presidential
0.1,A,0.5633808612823487,4338,press
0.1,A,0.5633808612823487,4338,primary
0.1,A,0.5633808612823487,4338,public
0.1,A,0.5633808612823487,4338,put
0.1,A,0.5633808612823487,4338,question
0.1,A,0.5633808612823487,4338,race
0.1,A,0.5633808612823487,4338,races
0.1,A,0.5633808612823487,4338,real
0.1,A,0.5633808612823487,4338,recommended
0.1,A,0.5633808612823487,4338,report
